Date,Hour,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,Solar energy,(Inverter)
1/31/16,24,0.00,5.00,1.40,0.89,95.56,9.00,29.10,29.89,0.00,
2/1/16,1,0.00,7.88,1.16,0.62,91.04,7.04,29.11,29.90,0.00,
2/1/16,2,0.00,9.84,1.22,0.96,89.28,8.96,29.12,29.91,0.00,
2/1/16,3,0.00,9.84,1.02,0.61,89.12,6.36,29.14,29.93,0.00,
2/1/16,4,0.00,9.88,0.83,0.45,90.08,6.12,29.15,29.94,0.00,
2/1/16,5,0.00,9.84,0.77,0.10,85.44,5.08,29.16,29.95,0.00,
2/1/16,6,0.00,9.92,0.37,-0.01,89.12,4.72,29.19,29.98,0.00,
2/1/16,7,0.00,10.00,0.47,-0.04,90.08,6.00,29.20,29.99,84.29,
2/1/16,8,0.14,9.92,0.89,0.30,92.00,2.76,29.22,30.01,531.00,
2/1/16,9,0.92,10.00,1.97,0.41,86.12,5.56,29.24,30.04,923.75,
2/1/16,10,0.46,10.00,3.15,1.07,82.48,2.12,29.27,30.06,1947.75,
2/1/16,11,0.42,10.00,4.50,1.05,75.88,0.00,29.27,30.06,3562.00,
2/1/16,12,0.00,10.00,6.16,1.26,68.96,0.00,29.26,30.05,4236.50,
2/1/16,13,0.00,10.00,7.56,1.41,64.48,0.00,29.25,30.04,3913.00,
2/1/16,14,0.00,10.00,8.47,0.63,57.12,3.72,29.24,30.03,3189.25,
2/1/16,15,0.00,10.00,8.78,-0.20,51.76,2.04,29.23,30.02,1687.75,
2/1/16,16,0.00,10.00,8.49,-0.21,54.20,3.20,29.24,30.03,453.93,
2/1/16,17,0.00,10.00,5.86,0.44,64.64,3.16,29.26,30.05,9.13,
2/1/16,18,0.40,10.00,3.03,-0.07,71.72,4.68,29.27,30.06,0.00,
2/1/16,19,0.14,10.00,2.03,-0.23,79.60,5.76,29.28,30.07,0.00,
2/1/16,20,0.00,10.00,1.78,-0.34,79.72,7.36,29.27,30.06,0.00,
2/1/16,21,0.01,10.00,1.79,-0.58,84.76,7.04,29.27,30.06,0.00,
2/1/16,22,0.00,10.00,1.67,-0.34,86.88,6.76,29.28,30.08,0.00,
2/1/16,23,0.00,5.52,1.43,0.05,90.76,6.12,29.29,30.08,0.00,
2/1/16,24,0.00,4.11,1.33,0.38,91.67,8.11,29.28,30.07,0.00,
2/2/16,1,0.00,4.72,1.11,-0.01,91.88,6.44,29.28,30.07,0.00,
2/2/16,2,0.00,4.40,1.04,0.05,91.72,9.40,29.28,30.07,0.00,
2/2/16,3,0.00,3.08,0.78,-0.01,94.44,10.12,29.25,30.04,0.00,
2/2/16,4,0.00,3.04,0.80,0.02,95.72,12.12,29.22,30.01,0.00,
2/2/16,5,0.73,3.40,1.33,0.33,94.44,13.44,29.20,29.99,0.00,
2/2/16,6,0.92,5.04,2.07,0.54,89.80,14.08,29.19,29.98,0.00,
2/2/16,7,0.92,5.76,2.51,0.67,86.80,18.00,29.13,29.92,31.35,
2/2/16,8,0.92,5.00,2.63,1.06,88.84,17.92,29.08,29.87,116.10,
2/2/16,9,1.00,6.35,3.34,1.65,86.89,18.30,29.01,29.81,172.50,
2/2/16,10,0.99,5.22,3.95,2.22,87.26,20.18,28.95,29.75,205.00,
2/2/16,11,1.00,7.35,5.04,3.16,86.38,21.50,28.90,29.68,274.00,
2/2/16,12,1.00,5.93,6.34,4.93,90.56,20.46,28.85,29.64,325.00,
2/2/16,13,1.00,1.00,7.96,7.07,97.28,17.56,28.81,29.59,256.50,
2/2/16,14,1.00,0.92,9.99,9.27,97.38,15.76,28.76,29.54,133.75,
2/2/16,15,1.00,3.15,11.87,11.02,96.00,20.92,28.72,29.50,182.50,
2/2/16,16,1.00,4.68,12.79,11.72,95.20,17.96,28.71,29.49,115.50,
2/2/16,17,0.83,7.26,13.51,12.56,94.26,17.15,28.69,29.47,2.93,
2/2/16,18,0.89,8.00,14.06,13.56,93.27,16.08,28.65,29.43,0.00,
2/2/16,19,0.96,5.62,13.87,13.50,94.17,14.00,28.66,29.45,0.00,
2/2/16,20,1.00,3.91,12.55,13.15,98.89,3.48,28.68,29.47,0.00,
